RAJ2000, deg	DEJ2000, deg	Name	r, arcsec	Ksmag, mag	2s, Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	HRV, km/s	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	Comm	Redshift	MorphologicalType
96.119375	-16.5081389	PGC179348	15.7	11.81	96	6263	3			0.02089111928	SB
96.2372917	82.3185	UGC03435	26.1	10.34	91	4314	3		IRAS	0.01438995507	SB
96.2600833	-29.8539444	ESO426-005	20.3	11.22	60	11438	2	1		0.03815306121	SAB
97.3935	-71.1049722	ESO058-001	25.6	10.5	77	5266	2	1		0.01756548525	SAB
97.922125	-58.9450833	ESO121-035	25.9	10.99	102	9524	3		IRAS	0.03176864443	SB
98.00875	33.1105278	CGCG175-004	23.9	10.89	60	5430	2		Bar,ring,pec	0.01811253037	SAB
98.3048333	-28.0270833	ESO426-022	19.1	11.09	62	11237	2	1	Bar,ring,HII	0.03748259738	SAB
98.862	48.8440833	UGC03493	36.8	9.81	151	5900	2			0.01968028162	SAB
99.1422917	-33.3475556	PGC148959	18	11.85	68	11273	2	1	Pec,HII,IRAS	0.03760268045	SAB
100.2676667	25.3691389	CGCG115-007	16.3	11.46	101	9543	3			0.0318320216	SB
100.94875	-51.4887778	ESO206-022	19.9	11.59	62	10114	3		IRAS	0.03373667259	SB
101.9970833	-57.8152222	ESO122-006	22.1	11.01	67	10300	2	1	IRAS	0.03435710181	SAB
102.39075	44.4312222	CGCG204-20	20.4	10.84	76	6415	2		IRAS	0.02139813671	SAB
103.6315	30.071	UGC03590	17	11.84	70	5223	2			0.01742205269	SAB
104.41525	39.0873056	UGC03612	23.2	10.84	103	5162	3		Bar,IRAS	0.01721857859	SB
104.6151667	34.2116667	UGC03619	17.9	11.85	68	10956	3		Bar,ring	0.03654528227	SB
105.1795417	-21.24675	ESO558-005	28.2	10.4	97	8953	2		Bar,ring,IRAS	0.02986399344	SAB
105.2636667	1.9112778	UGC03630	54.7	8.72	120	1771	3		Bar,ring,IRAS	0.005907420126	SB
105.7249583	10.6103611	PGC143087	17.4	11.43	91	10477	2			0.03494751025	SAB
107.2614583	6.9286667	UGC03707	18.8	11.42	63	5969	2		IRAS	0.01991044084	SAB
108.1195833	47.1667778	NGC2344	40	9.47	80	969	3		Bar,KIG180	0.003232236082	SB
